car_ID,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero giulia,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,3.47,2.68,9,111,5000,21,27,13495
2,alfa-romero stelvio,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,3.47,2.68,9,111,5000,21,27,16500
3,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,2.68,3.47,9,154,5000,19,26,16500
4,audi 100 ls,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,3.19,3.4,10,102,5500,24,30,13950
5,audi 100ls,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,3.19,3.4,8,115,5500,18,22,17450
6,audi fox,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,3.19,3.4,8.5,110,5500,19,25,15250
7,audi 100ls,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,3.19,3.4,8.5,110,5500,19,25,17710
8,audi 5000,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,3.19,3.4,8.5,110,5500,19,25,18920
9,audi 4000,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,3.13,3.4,8.3,140,5500,17,20,23875
10,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,five,3.13,3.4,7,160,5500,16,22,17859.167
11,bmw 320i,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,3.5,2.8,8.8,101,5800,23,29,16430
12,bmw 320i,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,3.5,2.8,8.8,101,5800,23,29,16925
13,bmw x1,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,3.31,3.19,9,121,4250,21,28,20970
14,bmw x3,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,3.31,3.19,9,121,4250,21,28,21105
15,bmw z4,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,six,3.31,3.19,9,121,4250,20,25,24565
16,bmw x4,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,six,3.62,3.39,8,182,5400,16,22,30760
17,bmw x5,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,3.62,3.39,8,182,5400,16,22,41315
18,bmw x3,gas,std,four,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,six,3.62,3.39,8,182,5400,15,20,36880
